Metric,Value,Unit,Instance
CPU_Throughput,477.63,eps,c5.large
Disk_Container_Layer,432.0,MB/s,c5.large
Disk_Docker_Volume,176.0,MB/s,c5.large
Mem_Bandwidth,20808.61,MiB/s,c5.large
Network_Bridge_Mode,34.0,Gbits/sec,c5.large
Network_Host_Mode,37.3,Gbits/sec,c5.large
CPU_Throughput,407.92,eps,t3.micro
Disk_Container_Layer,606.0,MB/s,t3.micro
Disk_Docker_Volume,687.0,MB/s,t3.micro
Mem_Bandwidth,17788.15,MiB/s,t3.micro
Network_Bridge_Mode,30.9,Gbits/sec,t3.micro
Network_Host_Mode,31.3,Gbits/sec,t3.micro
CPU_Throughput,989.04,eps,t4g.micro
Disk_Container_Layer,687.0,MB/s,t4g.micro
Disk_Docker_Volume,274.0,MB/s,t4g.micro
Mem_Bandwidth,12597.2,MiB/s,t4g.micro
Network_Bridge_Mode,32.9,Gbits/sec,t4g.micro
Network_Host_Mode,34.7,Gbits/sec,t4g.micro
